"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,310062242871089;47,6536392197269;47,6536392197269
"facteur 2";0,207079774907269;31,8262062215553;79,4798454412822
"facteur 3";0,133516038873766;20,5201545587178;100
