57;7;2;2;1
39;7;2;2;2
120;1;2;2;8
007;0;0;0;4
oitavo;2;5;1;4
nono;2;8;0;3
58;6;0;2;2
44;4;3;3;3
41;4;3;0;3
1000;6;1;3;2
mediante;4;6;0;1
72;3;0;4;3
700;4;1;3;3
62;2;4;2;3
terço;1;5;1;4
66;4;2;1;3
5000;1;1;1;6
37;5;2;0;4
140;6;0;1;4
98;1;1;0;6
95;7;1;1;1
75;5;1;0;2
61;4;2;0;4
51;3;0;4;3
48;3;4;0;3
143;0;6;0;1
00;0;2;2;5
79;7;0;1;0
42;3;2;2;2
2017;0;1;4;2
pró;2;0;1;3
96;3;1;1;2
94;2;1;0;5
92;2;2;1;1
88;4;2;0;0
56;7;0;0;1
53;7;0;0;1
52;2;4;0;0
43;3;0;1;4
250;2;0;0;5
1990;0;1;3;3
1964;2;0;1;4
117;8;0;0;0
z;0;2;1;4
vinte;0;2;0;5
per;1;1;0;3
lhes;0;3;2;2
cinquenta;0;0;0;5
81;2;0;4;1
2009;3;1;1;2
2008;3;1;1;1
2006;1;1;3;1
2002;1;2;2;2
180;4;1;0;2
150;1;0;0;5
01;1;0;2;4
vigésimo;0;4;0;1
trinta;1;0;1;3
k;0;1;1;3
desligado;2;1;0;1
91;0;4;0;1
64;2;0;2;2
54;5;0;1;0
332;4;0;1;1
2222;0;0;0;6
2030;1;4;0;0
y;1;0;1;3
quinze;1;0;0;4
convosco;0;5;0;0
97;1;0;1;3
93;3;0;0;2
900;4;0;0;1
800;0;0;0;5
73;3;0;0;1
67;1;1;1;1
65;1;1;0;3
210;4;0;0;1
178;3;0;0;2
170;1;1;2;0
115;1;0;1;3
108;2;2;1;0
sessenta;0;0;0;3
eminência;0;4;0;0
afora;0;2;0;2
89;1;0;1;2
83;1;0;0;2
82;2;0;0;2
78;2;0;0;2
708;2;0;1;1
63;0;1;0;2
49;1;0;0;2
47;0;0;1;2
365;0;4;0;0
350;0;0;2;2
3385;4;0;0;0
22222;1;0;0;3
2012;1;0;1;1
2011;3;0;1;0
2007;2;0;2;0
2005;0;0;1;2
1960;0;1;0;2
190;0;1;1;1
160;2;0;1;1
07;1;2;1;0
03;0;0;2;2
02;1;1;1;1
00005;0;0;0;3
xi;0;1;0;2
triplo;1;0;1;1
trilhão;1;0;2;0
oitenta;1;0;1;1
ante;2;0;0;1
87;0;0;1;2
720;0;0;2;1
69;2;0;0;1
68;1;0;2;0
597;3;0;0;0
583;3;0;0;0
580;0;0;3;0
4458;3;0;0;0
434;0;0;2;1
4000;1;0;0;2
3910;3;0;0;0
366;0;2;0;1
360;2;0;0;1
2970;0;0;0;3
272;2;0;0;1
2630;2;0;1;0
230;0;0;1;2
216;0;0;0;3
208;2;0;1;0
206;2;0;0;1
205;3;0;0;0
201;1;0;0;2
2001;2;1;0;0
1992;0;2;0;1
191;2;0;0;1
154;3;0;0;0
133;3;0;0;0
130;0;1;1;1
129;0;0;3;0
124;0;0;0;3
106;2;1;0;0
06;2;0;1;0
05;1;1;0;1
