"";"";"";"";"*_texto107";""
"1";"*_texto107";"2.3224654851925";"-1.59801753114643";"2.330352860983";"6"
"2";"*_texto89";"2.73970257467229";"-1.93339546933779";"2.08739540329718";"8"
"3";"*_texto144";"2.51252101514309";"-1.60877155871537";"1.96986284652554";"9"
"4";"*_texto99";"2.3838533963932";"-1.63397222767294";"1.4634708899309";"12"
"5";"*_texto81";"-1.95165348529478";"-1.70211190176319";"1.16104753371117";"30"
"6";"*_texto386";"-1.82061354479027";"-1.51585356599839";"1.07521254665692";"38"
"7";"*_texto166";"-1.72858834068133";"-1.2683005197676";"1.0665038782275";"40"
"8";"*_texto180";"-1.84634728803059";"-1.49661634735565";"1.00057390071078";"50"
"9";"*_texto358";"-1.91362364699214";"-1.62963295370713";"0.965118820535091";"51"
"10";"*_texto72";"-1.74544653182441";"-1.41208929169819";"0.944965890288215";"61"
"11";"*_texto437";"-1.67618469053557";"-1.17711128757364";"0.940465827071182";"64"
"12";"*_texto83";"-1.81075179964833";"-1.43357523658704";"0.912565676999445";"80"
"13";"*_texto33";"0.303788737576185";"2.64292638779115";"0.895396260849967";"89"
"14";"*_texto128";"0.185600721578303";"2.65078529101857";"0.881603403824905";"117"
"15";"*_texto141";"0.356614108381979";"2.62052010795273";"0.871241527543386";"128"
"16";"*_texto359";"0.567578676612027";"2.43283788217087";"0.870609027392215";"129"
"17";"*_texto140";"-0.180714340550871";"1.71650114234438";"0.867388476909292";"134"
"18";"*_texto365";"0.208624122758971";"2.72231938730719";"0.867232468267798";"136"
"19";"*_texto215";"-0.171732841248811";"1.42952361684482";"0.863912749501135";"138"
"20";"*_texto130";"0.274524354063903";"2.92107655020054";"0.860810717210974";"142"
"21";"*_texto393";"-0.119752310403957";"1.60044370570075";"0.858365372458263";"145"
"22";"*_texto148";"-0.147190567971894";"1.49031358669431";"0.858211782555397";"146"
"23";"*_texto227";"-0.206434318061154";"1.65279405866317";"0.85638442552209";"150"
"24";"*_texto257";"-0.141098628749149";"1.48822388736355";"0.854559487227411";"151"
"25";"*_texto265";"-0.23906028563285";"1.61508560867322";"0.854229329404716";"152"
"26";"*_texto29";"0.407093305823903";"2.06925952979818";"0.853971733740854";"154"
"27";"*_texto71";"0.070396981969763";"1.56949124304016";"0.853790328343769";"155"
"28";"*_texto258";"-0.303395711448275";"1.46519195851188";"0.852976422795512";"156"
"29";"*_texto24";"0.106569859404444";"2.45437276225729";"0.852349969490911";"158"
"30";"*_texto210";"0.528176019085163";"2.73797913379087";"0.850382325617191";"164"
"31";"*_texto156";"0.261896874481569";"2.47709755956143";"0.849788525284064";"166"
"32";"*_texto82";"-0.383816792530362";"1.12095966151051";"0.849688147631011";"167"
"33";"*_texto395";"-0.256845473981309";"1.527928174648";"0.849630097903943";"168"
"34";"*_texto302";"-0.225758594497214";"1.60492880312402";"0.849221331075844";"169"
"35";"*_texto318";"-0.149036139186812";"1.40328240143064";"0.849221331075844";"170"
"36";"*_texto223";"-0.17912827527107";"1.72042974583806";"0.849162071979463";"171"
"37";"*_texto294";"0.025302157739434";"1.36699934828212";"0.847985355637035";"172"
"38";"*_texto118";"0.20790961231227";"2.75607520346621";"0.847212568645451";"173"
"39";"*_texto201";"0.291746516914493";"2.8867627948131";"0.846115670677742";"174"
"40";"*_texto324";"-0.378580070922965";"1.29592099496599";"0.845446889447153";"176"
"41";"*_texto366";"0.0350269059657233";"1.90968188952461";"0.84543963323127";"177"
"42";"*_texto444";"-0.279885702188176";"1.40245781457362";"0.84506472874396";"178"
"43";"*_texto278";"-0.103671023436947";"1.28446042954155";"0.84404523041234";"179"
"44";"*_texto439";"-0.137057324209646";"1.38943287107315";"0.843718700697586";"180"
"45";"*_texto402";"-0.208331282257736";"1.67645354654409";"0.84270645858185";"182"
"46";"*_texto282";"-0.256845473981309";"1.527928174648";"0.842269876259531";"184"
"47";"*_texto132";"-0.0514985355866091";"1.76329421951226";"0.842145311220199";"185"
"48";"*_texto237";"-0.0974863235787891";"1.55544894064926";"0.841957858976544";"186"
"49";"*_texto363";"-0.216359567271402";"1.67610352032671";"0.84115725649074";"189"
"50";"*_texto421";"-0.466981135015271";"1.15111417460655";"0.84115725649074";"190"
"51";"*_texto403";"-0.395905837900843";"1.27856596873821";"0.840496940845349";"192"
"52";"*_texto102";"0.142616268689064";"2.18650228978544";"0.839142447213778";"195"
"53";"*_texto226";"-0.21798687462619";"1.62417896024303";"0.838223326535212";"198"
"54";"*_texto332";"-0.21798687462619";"1.62417896024303";"0.838223326535212";"199"
"55";"*_texto417";"-0.335465734506129";"1.3780902044367";"0.838223326535212";"200"
"56";"*_texto222";"-0.102516347005095";"1.4749891249354";"0.838183417347853";"201"
"57";"*_texto309";"-0.187763519572208";"1.69904068237249";"0.838183417347853";"202"
"58";"*_texto272";"-0.452040603560172";"1.15591666239926";"0.836585840484187";"203"
"59";"*_texto260";"-0.116224602510226";"1.36534673132101";"0.836393550763277";"204"
"60";"*_texto277";"-0.153222542367658";"1.78459693623474";"0.833021829116116";"208"
"61";"*_texto214";"-0.414085995030948";"1.22825223422541";"0.832758186605685";"210"
"62";"*_texto319";"-0.366525272719628";"1.41020122322881";"0.829537636122762";"214"
"63";"*_texto401";"-0.067441545419592";"1.46295752272799";"0.829156684788883";"215"
"64";"*_texto8";"0.051536462360053";"1.31256452719962";"0.82771511656671";"218"
"65";"*_texto217";"-0.205034008174483";"1.65626255544137";"0.827260393704683";"220"
"66";"*_texto329";"-0.0771632493238139";"1.32018521928573";"0.827260393704683";"221"
"67";"*_texto37";"0.69558765600152";"1.49343216281545";"0.826389647798673";"224"
"68";"*_texto151";"-1.85344153386995";"-1.51493522041218";"0.82333961838901";"227"
"69";"*_texto110";"-0.0291122487380782";"2.36141449409073";"0.819493823970799";"232"
"70";"*_texto303";"2.33057856108662";"-1.46357038256867";"0.813875094138407";"238"
"71";"*_texto53";"0.26414758285638";"0.821685339131748";"0.813604195412093";"239"
"72";"*_texto243";"0.147439531498055";"1.06050652508289";"0.809232325342334";"245"
"73";"*_texto317";"0.205194532280821";"0.993732003716451";"0.807485996053058";"249"
"74";"*_texto147";"-0.262263844868794";"1.78390978052056";"0.807188491201838";"252"
"75";"*_texto67";"0.466157832303095";"1.11554805708543";"0.806820842930412";"254"
"76";"*_texto284";"0.167329927526154";"0.853709803583991";"0.80572636370133";"256"
"77";"*_texto313";"-0.728567037130227";"0.628900353380219";"0.805034604453777";"260"
"78";"*_texto322";"-0.728567037130227";"0.628900353380219";"0.805034604453777";"261"
"79";"*_texto280";"0.48327117323796";"1.0110554207719";"0.804636721949503";"264"
"80";"*_texto153";"-0.838259454916513";"0.460814180144971";"0.804250933138368";"266"
"81";"*_texto123";"-0.728567037130227";"0.628900353380219";"0.802516697542232";"276"
"82";"*_texto297";"-0.728567037130227";"0.628900353380219";"0.802516697542232";"277"
"83";"*_texto131";"0.380591127628771";"1.63801123865306";"0.802099465128935";"280"
"84";"*_texto236";"0.0281545479889544";"0.899744971234089";"0.802099465128935";"281"
"85";"*_texto224";"-0.256845473981309";"1.527928174648";"0.801835822618505";"282"
"86";"*_texto410";"-0.256845473981309";"1.527928174648";"0.801835822618505";"283"
