"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";1,65793182664916;-1,00634058790246;-0,0625292291392235;0,854403235372437;-0,518610379733309;-0,0322239882383309;0,802133662125301;0,197375018252167;0,000491319622547888;0,576815313133801;0,2125168756096;0,000820483012332322;0,209847328244275;1,03078416821527;0,222966144119654
"classe 2";-1,19369913054522;-0,941147795512694;-0,51106585791893;-0,744339017902675;-0,586858956237339;-0,318678508706976;0,669303541943814;0,277867546796248;0,0528289112599683;0,398928171980912;0,247982258175671;0,0731237893748868;0,279965780468544;0,812470793477615;0,184807872657648
"classe 3";0,376285521816638;1,74649689738141;-2,13843947533458;0,135037171811996;0,626763422791842;-0,767419425138087;0,0341355695174669;0,491130124141185;0,474734306341346;0,0161545442802073;0,348012890829497;0,521739382473871;0,114093182416425;1,13406611452834;0,146735921002238
"classe 4";-0,14301986352813;0,695299282749408;1,01032634358638;-0,115827199147581;0,563100582698749;0,818230892659251;0,0261275541003134;0,412418748335296;0,561453697564337;0,00810197060507983;0,191487975385233;0,404316345138909;0,396093708870755;0,492687363485468;0,0961481188725799
