"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"mesmo";-0,192653822768114;0,658510756953848;0,34637701737203;-0,250659115762153;0,856778867329267;0,450666151583757;0,098088063068132;0,765377064724263;0,136534872207571;0,000190706625622089;0,00222810814959387;0,000616465329021419;0,0051381942616478;0,342526355595794;0,000602835066991685
"lá";-0,166313119552261;0,827782074322396;0,705365585980049;-0,151167272716991;0,752397399051907;0,641129167609174;0,0395401808657042;0,65419386506059;0,306265954073668;0,000134550616748245;0,00333322559733723;0,00242025545424438;0,00486443801000263;0,465727224860107;0,00105510559373377
"coisa";-0,551639139108181;0,224234549874501;0,778927335258463;-0,562629225774332;0,228701885424059;0,794445594051636;0,507895684066729;0,0560477569398915;0,436056558993365;0,00151552108369061;0,000250413014772936;0,00302166092528431;0,00498025796262174;0,431014869413162;0,000925201534624175
"brasil";-0,0900817157593516;0,347710184103053;-0,197782286523787;-0,219688684357797;0,847985545562581;-0,482345722985156;0,0767670230450409;0,763879794104516;0,15935318285043;3,64617514678907e-05;0,00054324914246951;0,000175767677537299;0,00449328770729139;0,181039666901868;0,000147269126647119
"hoje";-0,1960464991426;0,0643278000963445;-0,00460547024586311;-0,949920797798169;0,311692968022211;-0,0223152771884177;0,932710431413738;0,0670679219381857;0,000221646648072325;0,00017583230175759;1,89311884016291e-05;9,70350067134821e-08;0,00457488812845486;0,11303426548423;5,84521798148098e-05
"tudo";-0,55570480619662;0,385550107164557;0,598444155205193;-0,615329365354671;0,426917852983354;0,662654449118318;0,549184925023028;0,176555299508838;0,274259775468119;0,0013314746728349;0,000640923595289488;0,00154415845354299;0,00431166096341142;0,417550772331807;0,000751732257341055
"presidente";1,70095550298171;-0,436524527993218;-0,254786746541782;0,958574696457131;-0,246003711551348;-0,143585254170058;0,949083337282052;0,041746930252871;0,00916973246507399;0,0120406097766746;0,000793012219153116;0,000270157011064228;0,00416162147933667;0,972221498671393;0,00393362555872351
"ano";0,415171229265954;0,247624828141563;-0,281879041123326;0,74192035028695;0,44251115271007;-0,503724203862883;0,696337724996869;0,165440791316365;0,138221483686763;0,000674223701818275;0,00023984898786796;0,000310795761051234;0,00391155567254541;0,277039522443412;0,000300215406516375
"vida";-1,09259662639853;-0,526637508212793;-0,359286908716621;-0,863719080534721;-0,416317287989444;-0,284023354042182;0,832134835675591;0,129117874228799;0,0387472900955994;0,00491458856240927;0,00114180260528689;0,000531435107818709;0,00411687286127928;0,666941045040767;0,00183122768945499
"ali";-0,374983302015311;0,771735787017073;0,543898684175732;-0,36912125569839;0,759671380672562;0,535396014160254;0,211205098732292;0,597456953460526;0,191337947807153;0,000514481028529943;0,00217912822768723;0,00108238439673822;0,00365885759410371;0,454343345927462;0,000755290201695447
"pai";-1,44234167920255;-1,15184440862449;-0,732789541843974;-0,726265709389371;-0,579990933215188;-0,368983247252948;0,650583727840849;0,277104339326264;0,0723119328328698;0,00662601452664763;0,00422574915881073;0,00171030908209908;0,00318504869702553;0,995728636286936;0,00315789780394164
"achar";-0,0340565754648194;0,305303331965014;0,96687920838075;-0,0335695664538914;0,300937494481239;0,953052836218146;0,00248910868766532;0,133596105305299;0,863914786007003;4,2925758550715e-06;0,00034496824179934;0,00345987548686543;0,00370097394051066;0,380104916840236;0,000534715781562012
"bom";-0,125249156264809;0,08873928678639;0,904073602262549;-0,136583981598523;0,0967700340261997;0,985890651383439;0,0420678872890855;0,0141033327148017;0,94382877999609;5,57047557111549e-05;2,7962405146388e-05;0,00290235300509994;0,0035509344564359;0,340035218212624;0,00041057306671229
"precisar";-0,191022989890408;-0,225329076889818;0,253858217364129;-0,490436597807849;-0,578514795106212;0,651761133678497;0,371776862273803;0,345489104701628;0,282734033024565;0,00012573078576118;0,000174946326653464;0,000222051036670152;0,00344564359041853;0,17444916763591;0,000104859590219321
"até";-0,0144491062396348;0,340377410283685;0,119837255410153;-0,0400090298991988;0,942492203960433;0,331824837829134;0,00249227639881886;0,92368628585483;0,0738214377463166;8,00154864851046e-07;0,000444031254972781;5,50396659485416e-05;0,00383258752303238;0,161163735114805;9,95466683219837e-05
"oração";-2,0162879287466;-1,84592146917798;-1,22198262616197;-0,673365921602001;-0,616469797580265;-0,408097199569458;0,582094079314856;0,325839194683466;0,0920667260016582;0,0129271485917978;0,0108348794235578;0,00474818578225634;0,00317978415372466;1,47156822329545;0,00688586403596214
"colocar";0,0340259841828775;0,299904796371161;0,164723003444853;0,0989552664404409;0,872191054700146;0,479051791923116;0,0158790741803163;0,823871365845931;0,160249559973715;4,25743968586459e-06;0,000330745493499182;9,97781890125254e-05;0,00367728349565675;0,150356618221198;8,31327622062452e-05
"cara";-0,627443804232425;0,797745213502054;0,958223375724332;-0,449520689268673;0,571530033152403;0,686501690547248;0,324262307340637;0,350077349762313;0,325660342897025;0,00132541207010711;0,00214254358364331;0,00309125458364417;0,0033666754409055;0,613551529306524;0,00126736974937427
"orar";-1,94744377055814;-1,70368488940408;-1,12789197943668;-0,689940324661779;-0,603581435052133;-0,399589538984702;0,604018677409946;0,308736415208134;0,0872449073819008;0,0117399941922485;0,00898496875494433;0,00393797581763212;0,00309555146091077;1,39528904698278;0,00602651717021587
"educação";2,59554893139536;-1,78868170800192;-0,0229235110517432;0,823391424740924;-0,567427245213969;-0,00727207343180851;0,759182237283083;0,240792263054828;2,5499662081101e-05;0,021067140340242;0,0100049121242915;1,64327186738615e-06;0,00312713872071598;1,65874888371262;0,00860415913859131
