"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";1,12635252215677;0,507565672553323;0,911707214758174;0,410840546389829;0,91470167291199;0,085298327088009;0,502186423463388;0,101976659282181;0,39583691725443;0,108055204447803;0,00462176303220337
"classe 2";-1,01689768012751;0,286436366067908;-0,962543822319443;0,271126151661319;0,964845197359839;0,0351548026401622;0,488666817462309;0,0387716824516772;0,472561500086014;0,0949859842053547;0,00426360919936837
"classe 3";0,263634998467368;-2,55522785638397;0,102629947872254;-0,994719605617452;0,0226552785105374;0,977344721489463;0,00914675907430246;0,859251658266142;0,131601582659556;0,160705023008458;0,00339875621562256
