"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";0,837902460053605;-0,911936035369069;0,676584654072129;-0,736364859206425;0,594670135931839;0,40532986406816;0,277096086022996;0,328225421737536;0,394678492239468;0,254613541416812;0,0255862391888256
"classe 2";-1,06471947281872;0,118285636573797;-0,993885427824864;0,110416286649151;0,992948024489693;0,00705197551030918;0,527853185627206;0,00651488532623141;0,465631929046563;0,250379077797078;0,0291903178396634
"classe 3";1,1816579587681;2,18229572405075;0,476152639710737;0,879362646293608;0,337540066466136;0,662459933533864;0,195050728349799;0,665259692936233;0,139689578713969;0,476601291794643;0,0317303189677169
