"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"dar";1,67068356895512;-0,856585194756714;0,889855438539004;-0,456242587339847;0,868608452821731;0,13139154717827;0,014698583194001;0,00386392065455974;0,00526607538802661;0,420057044353403;0,000929188051471013
"todo";0,0686988721273475;-0,78148708191373;0,0875701683903999;-0,996158353680818;0,0132516924124804;0,98674830758752;2,6161502392293e-05;0,0033853772682818;0,00554323725055432;0,139842773952707;0,000108403555580864
"porque";0,520883490848;0,405647912313617;0,788973076837195;0,614427769575927;0,741297559618676;0,258702440381324;0,00165438787218292;0,00100335505344144;0,00609756097560976;0,141765451119626;0,000122545384946043
"não";-0,0432232731043145;0,777052117074093;-0,0555388219975416;0,998456528473386;0,00534829540266085;0,994651704597339;8,33670912954201e-05;0,0269438494502611;0,0446230598669623;0,138495624892193;0,000855916612083961
"ter";-0,228102987241562;0,80372714926224;-0,273023907785374;0,962007248297851;0,122788658812282;0,877211341187719;0,00124020611413888;0,0153974640852727;0,0238359201773836;0,152537962653804;0,000554610139786391
"tudo";-1,2959158259103;-1,6528553652373;-0,61700983198315;-0,786955441709456;0,516511147022666;0,483488852977333;0,0069819754483569;0,0113578056751403;0,00415742793791574;0,422535342391407;0,000742251034796938
"acontecer";-2,4221466228316;0,304462624874353;-0,992192221010815;0,124718068320619;0,990989953792541;0,00901004620745993;0,0260168259977584;0,000411075343438497;0,00443458980044346;0,570153638156493;0,00144157503815115
"nosso";1,02331084498206;1,72468679478845;0,510272567981324;0,860012736164846;0,379572676667958;0,620427323332042;0,0063851529601091;0,0181374667080344;0,00609756097560976;0,389211982364758;0,000923694922050636
"pro";0,647718260380836;-1,13116111561209;0,496913984113364;-0,867799799719142;0,362981633148578;0,637018366851423;0,00337212566521412;0,0102844342058511;0,00803769401330377;0,25192421395328;0,000510118757678316
"ele";-0,22758768404066;-0,737762337616141;-0,294776629880008;-0,955566187386612;0,141908245114105;0,858091754885896;0,000947490620615695;0,00995658414886889;0,0182926829268293;0,14156993680983;0,000366622811128155
"lula";1,16266536733494;0,283072697209424;0,971617259651987;0,236558451014466;0,967015450476644;0,032984549523356;0,0112399453137479;0,000666270664402038;0,00831485587583149;0,277053809553355;0,000638238470521288
"primeiro";1,35826241440476;2,60404604977167;0,462466897849867;0,886636548081073;0,321022151740294;0,678977848259705;0,00613595383498223;0,0225534007627431;0,00332594235033259;0,561748962469273;0,00104954067683583
"já";2,15341129867614;1,56326964874176;0,809244821441028;0,587471547371342;0,767310984076848;0,232689015923153;0,0167082435910363;0,00880530929345994;0,00360310421286031;0,576059544066057;0,00119567067018424
"presidente";2,2793792303172;5,02228400097552;0,413280381174973;0,910603825236787;0,263603737328884;0,736396262671116;0,0172801652181866;0,0838913633695832;0,00332594235033259;1,04031988913592;0,00359955256673536
"seu";0,738795673016834;-1,16268047876945;0,536311197486541;-0,844020319335117;0,412344429330474;0,587655570669526;0,00287432424692338;0,0071188170783037;0,00526607538802661;0,269600301693876;0,000382761122725929
