"";"*_texto0";"*_texto1";"*_texto10"
"adj";96;134;40
"adv";167;201;39
"nom";415;470;135
"pro_per";174;143;51
"ver_sup";264;347;108
"pre";294;293;85
"pro_rel";105;153;40
"ver";244;273;60
"art_def";174;271;69
"conj";80;112;24
"adv_sup";74;109;35
"pro_dem";28;14;10
"pro_ind";45;63;17
"pro_pos";27;41;11
"nom_sup";15;23;4
"adj_num";14;9;6
"num";22;15;9
"nr";58;65;21
"ono";5;9;0
"adj_sup";0;2;1
"pro_int";0;0;0
"adj ";0;0;0
"sw";0;0;0
