aqui;8991;adv
né;8602;nr
gente;6403;nom
então;5497;adv
aí;5232;adv
porque;5178;adv
deus;4805;nom
senhor;4276;nom
muito;3438;adv
pessoas;3307;nom
também;2911;adv
assim;2856;adv
só;2817;adj
já;2709;adv
agora;2617;adv
quando;2479;adv
lá;2180;adv
brasil;1991;nom
hoje;1975;adv
tudo;1921;adv
presidente;1881;nom
vida;1760;nom
falar;1741;ver
ali;1709;adv
mesmo;1670;adv
quero;1617;ver
até;1602;adv
dia;1578;nom
cara;1529;nom
fala;1522;ver
educação;1511;nom
pai;1479;nom
oração;1428;nom
jesus;1405;nom
deputado;1383;nom
país;1257;nom
anos;1244;nom
mundo;1234;nom
pessoa;1180;nom
coisa;1178;nom
bem;1166;adv
fato;1100;nom
palavra;1093;nom
realmente;1050;adv
quer;1037;ver
precisa;1030;ver
inclusive;1027;adv
esquerda;1023;adj
nada;1016;adv
lula;1002;nom
exemplo;995;nom
bom;988;adj
casa;984;nom
olha;979;nom
tô;965;nr
depois;959;adv
igreja;956;nom
coisas;948;nom
obrigado;935;ver
bolsonaro;931;nr
algo;930;adv
nicolas;919;nom
dentro;907;adv
falando;900;ver
acho;893;ver
música;890;nom
governo;866;nom
forma;841;nom
ainda;812;adv
coração;803;nom
dar;796;ver
dá;768;ver
momento;765;nom
escola;753;nom
família;745;nom
sempre;741;adv
comissão;741;nom
orar;738;ver
sim;721;adv
projeto;716;nom
grande;704;adj
dias;697;nom
falou;691;ver
vezes;682;nom
talvez;660;adv
pessoal;658;adj
ficar;656;ver
nunca;650;adv
questão;644;nom
ano;642;nom
vez;640;nom
nação;637;nom
homem;632;nom
fica;625;ver
ministro;607;nom
política;604;nom
vem;594;ver
crianças;588;nom
colocar;581;ver
tão;577;adv
bíblia;576;nom
amém;563;nom
mulher;557;nom
espírito;551;nom
escolas;544;nom
importante;529;adj
vídeo;525;nom
simplesmente;522;adv
boa;513;adj
antes;510;adv
cristo;507;nom
dinheiro;506;nom
paulo;506;nom
criança;504;nom
certeza;501;nom
claro;500;adj
lugar;497;nom
filho;496;nom
contrário;491;adj
queria;489;ver
seguinte;486;adj
lado;480;nom
caso;479;nom
existe;479;ver
deixar;477;ver
relação;472;nom
respeito;469;nom
história;467;nom
maior;462;adj
meio;461;adv
conta;460;ver
pastor;455;nom
segurança;454;nom
deputada;449;nom
amor;447;nom
acredito;442;ver
deixa;436;ver
deputados;434;nom
direita;424;nom
mesma;423;adv
milhões;422;nom
fosse;420;ver
filhos;420;nom
the;418;nr
certo;417;adj
cristão;416;adj
nacional;413;adj
santo;411;adj
falei;404;ver
consegue;404;ver
glória;404;nom
lei;403;nom
menos;399;adv
daqui;398;adv
terra;397;nom
mulheres;395;nom
novo;393;adj
noite;389;nom
deu;388;ver
live;385;nr
acontecendo;384;ver
direito;382;nom
ponto;376;nom
através;376;adv
melhor;375;adj
galera;371;nom
homens;368;nom
problema;367;nom
hora;363;nom
mãe;361;nom
chegar;359;ver
liberdade;357;nom
federal;357;adj
deve;355;nom
favor;351;nom
enfim;351;adv
professor;351;nom
peço;350;ver
contas;349;nom
justiça;348;nom
querem;348;ver
ensino;346;nom
debate;345;nom
aconteceu;344;ver
passar;344;ver
guerra;340;nom
sentido;339;nom
pública;337;nom
paz;336;nom
acha;331;ver
ministério;329;nom
jovens;324;adj
mão;319;nom
pergunta;316;nom
pt;312;nr
político;308;adj
maneira;302;nom
vendo;301;ver
entrar;301;ver
precisamos;298;ver
vontade;296;nom
realidade;294;nom
muitos;294;adv
frente;293;nom
horas;291;nom
obviamente;287;adv
chamado;286;adj
mudar;283;ver
cidade;283;nom
aula;283;nom
crime;282;nom
mostrar;282;ver
brasileiro;280;adj
basicamente;279;adv
fé;278;nom
preciso;276;adj
livro;275;nom
entender;273;ver
rio;273;nom
público;273;nom
força;272;nom
geração;270;nom
propósito;270;nom
passa;269;ver
pedir;268;ver
querendo;267;ver
presença;266;nom
próprio;265;adj
número;265;nom
professores;265;nom
poxa;264;nr
quiser;264;ver
mal;264;adv
chama;263;ver
beleza;261;nom
trazer;260;ver
ficou;258;ver
brasileira;256;adj
chamar;255;ver
amigo;254;nom
afinal;254;adv
acontecer;254;ver
acordo;254;nom
requerimento;252;nom
orando;252;ver
junto;250;adj
final;249;nom
exatamente;249;adv
acontece;248;ver
atrás;248;adv
sociedade;247;nom
apenas;245;adv
além;245;adv
diferente;243;adj
falo;243;ver
processo;242;nom
partido;242;nom
gostaria;241;ver
palavras;241;nom
tomar;237;ver
jovem;237;adj
senhores;236;nom
chega;236;ver
abençoe;235;ver
conseguir;235;ver
pedindo;235;ver
votação;233;nom
graças;231;nom
continuar;231;ver
irmão;230;nom
mentira;230;nom
minas;229;nom
janeiro;229;nom
plano;229;nom
ouvir;227;ver
daniel;225;nom
social;224;adj
parece;224;nom
possível;223;adj
universidade;223;nom
presente;222;nom
demais;221;adv
olhos;220;nom
principalmente;219;adv
and;219;nr
quase;218;adv
evangelho;218;nom
começar;218;ver
stf;217;nr
cristãos;217;adj
saúde;216;nom
começa;216;ver
chegou;215;ver
democracia;214;nom
morte;214;nom
pauta;214;nom
ler;214;ver
gentileza;214;nom
belo;212;adj
veio;212;ver
voto;210;nom
preso;210;adj
medo;209;nom
curso;209;nom
tirar;208;ver
voltar;208;ver
voz;207;nom
difícil;207;adj
discussão;207;nom
sala;206;nom
céu;205;nom
eleições;204;nom
graça;204;nom
agradecer;204;ver
entendeu;203;ver
rede;203;nom
ganhar;203;ver
horizonte;202;nom
igual;202;adj
pais;202;nom
alunos;202;nom
congresso;201;nom
unidos;200;adj
época;200;nom
movimento;200;nom
polícia;199;nom
semana;199;nom
sair;199;ver
minutos;199;nom
falta;198;nom
campanha;198;nom
própria;197;adj
coloca;196;ver
feliz;195;adj
resposta;195;nom
pedro;194;nom
forte;193;adj
famílias;192;nom
causa;191;nom
passado;191;adj
qualidade;191;nom
alexandre;190;nom
diante;190;adv
artigo;190;nom
ordem;190;nom
golpe;189;nom
tendo;189;ver
luta;188;nom
cabeça;187;nom
defender;187;ver
idade;187;nom
infelizmente;186;adv
to;186;nr
venha;186;ver
discutir;186;ver
daí;185;adv
olhar;185;nom
acesso;185;nom
lembro;184;ver
grupo;183;nom
corpo;183;nom
abrir;183;ver
reino;183;nom
existem;182;ver
volta;182;nom
internet;181;nom
of;181;nr
matar;181;ver
amigos;180;nom
esperança;180;nom
ok;180;nr
oramos;180;ver
cadeia;179;nom
deveria;179;nom
jejum;179;nom
rei;178;nom
partir;176;ver
situação;176;nom
atenção;175;nom
levar;175;ver
próximo;173;adj
ontem;173;adv
mente;173;nom
importa;173;ver
passou;173;ver
câmara;172;nom
completamente;172;adv
olhada;172;nom
problemas;172;nom
questões;171;nom
orações;171;nom
base;171;nom
continua;170;ver
tema;170;nom
capítulo;170;nom
versículo;170;nom
vereador;169;nom
queremos;169;ver
estudantes;169;nom
legal;168;adj
reunião;168;nom
amanhã;168;adv
parar;167;ver
dando;167;ver
futuro;167;adj
viver;166;ver
paraa;166;nr
diferença;166;nom
gerais;165;adj
errado;165;adj
meses;164;nom
orientação;164;nom
inteiro;164;adj
colocou;164;ver
oportunidade;163;nom
cultura;163;nom
esposa;162;nom
rua;162;nom
ideia;162;nom
espiritual;162;adj
abraço;162;nom
alegria;161;nom
papel;160;nom
acabou;160;ver
mãos;160;nom
sistema;159;nom
joão;159;nom
pô;159;nr
violência;159;nom
pedido;159;nom
fácil;159;adj
população;158;nom
votar;157;ver
culpa;157;nom
escolar;156;adj
redes;155;nom
posição;155;nom
mídia;155;nom
creio;155;ver
médio;154;adj
começou;153;ver
controle;153;nom
água;153;nom
porta;153;nom
monte;152;nom
luz;152;nom
misericórdia;152;nom
aluno;152;nom
perdão;150;nom
acima;150;adv
parabéns;150;nom
direitos;149;nom
texto;149;nom
aplausos;148;nom
lembrar;147;ver
real;147;adj
logo;146;adv
alma;146;nom
moraes;145;nom
news;145;nr
necessário;145;adj
nícolas;145;nr
filha;145;nom
ouvindo;145;ver
ex;144;nr
brasileiros;143;adj
passo;143;nom
imagina;143;ver
pecado;143;nom
fake;142;nr
pensar;142;ver
caras;142;adj
adolescentes;142;adj
interessante;142;adj
ajudar;141;ver
extremamente;141;adv
jeito;141;nom
opinião;141;nom
lutar;140;ver
coragem;140;nom
presidência;140;nom
universidades;140;nom
acabar;140;ver
espaço;139;nom
fundamental;139;adj
instagram;139;nr
sociais;138;adj
diversos;138;adj
candidato;138;nom
infantil;138;adj
passando;138;ver
bastante;137;adv
pé;137;nom
neto;137;nom
prisão;136;nom
corrupção;136;nom
nova;136;adj
querer;136;ver
local;136;nom
programa;136;nom
livros;136;nom
sai;136;ver
fogo;136;nom
prefeito;135;nom
países;134;nom
colocando;134;ver
discurso;134;nom
reais;133;adj
achar;133;ver
importância;133;nom
acaba;133;ver
felipe;133;nom
aborto;133;nom
autoridade;133;nom
poderoso;133;adj
pede;132;ver
espero;131;ver
república;131;nom
momentos;131;nom
