aluno;363;nom
amar;362;ver
social;362;adj
três;361;adj_num
guerra;361;nom
requerimento;360;nom
crime;359;nom
rede;358;nom
ministério;358;nom
favor;357;nom
discutir;357;ver
esperar;356;ver
perguntar;355;ver
entre;353;pre
quê;352;pro_ind
matar;352;ver
mandar;351;ver
agradecer;351;ver
enfim;351;adv
último;350;adj_sup
sentido;350;nom
ensino;350;nom
conta;349;nom
justiça;349;nom
aprender;348;ver
sentir;346;ver
criar;340;ver
cidade;338;nom
minuto;336;nom
paz;336;nom
força;330;nom
durante;330;pre
abençoar;329;ver
parar;328;ver
aula;328;nom
junto;327;adj
responder;327;ver
lutar;320;ver
céu;317;nom
olho;316;nom
maneira;316;nom
aprovar;313;ver
diferente;313;adj
número;313;nom
pt;312;nr
voto;312;nom
vontade;309;nom
geração;308;nom
eleição;306;nom
comigo;306;pro_ind
21;306;num
realidade;301;nom
partido;296;nom
frente;295;nom
gerar;295;ver
destruir;293;ver
desde;292;pre
encontrar;292;ver
mentira;292;nom
perceber;289;ver
obviamente;287;adv
rio;285;nom
processo;284;nom
propósito;283;nom
real;280;adj
humano;280;adj
basicamente;279;adv
plano;278;nom
fé;278;nom
preciso;276;adj
i;273;sw
pauta;272;nom
tratar;271;ver
pagar;270;ver
sofrer;269;ver
preso;267;adj
mal;267;adv
vereador;267;nom
presença;267;nom
3;266;num
diverso;266;adj
poxa;264;nr
final;263;nom
cair;262;ver
presente;262;nom
utilizar;262;ver
acordo;261;nom
beleza;261;nom
inteiro;259;adj
valor;256;nom_sup
possível;255;adj
afinal;254;adv
caminho;254;nom_sup
mês;250;nom
conversar;250;ver
semana;250;nom
passado;250;adj
exatamente;249;adv
seguir;249;ver
geral;248;adj
atrás;248;adv
curso;248;nom
8;247;num
sociedade;247;nom
discussão;247;nom
votação;246;nom
difícil;246;adj
bater;246;ver
ideia;246;nom
morte;246;nom
apenas;245;adv
1;245;num
além;245;adv
ajudar;244;ver
movimento;244;nom
pecado;244;nom
